City Name,Lowest Price,Average Price,Highest Price,Number of Samples,Price Unit(s),挂牌均价
柳林,56.0,56.0,56.0,2,'万',暂无数据
滦南,31.0,43.75666666666667,50.0,60,'万',暂无数据
临朐,28.0,36.89333333333333,42.0,60,'万',暂无数据
宜阳,23.0,39.6,45.0,60,'万',暂无数据
乐陵,28.8,45.155,50.0,60,'万',暂无数据
澧县,22.8,33.42999999999998,37.5,60,'万',暂无数据
梁山,32.0,47.55,55.0,60,'万',暂无数据
临邑,45.0,66.68333333333334,80.0,60,'万',暂无数据
鹿邑,24.0,34.351666666666674,42.0,60,'万',暂无数据
绵阳,17.0,23.626666666666665,26.0,60,'万',7771
茂名,17.0,25.523333333333323,30.0,60,'万',7063
马鞍山,17.0,22.34333333333333,25.0,60,'万',9089
牡丹江,7.5,13.101666666666665,15.8,60,'万',5470
眉山,18.8,24.578333333333315,26.8,60,'万',6028
梅州,18.5,26.924999999999986,29.0,60,'万',5869
明港,33.0,33.0,33.0,1,'万',暂无数据
梅河口,17.0,23.77333333333332,26.8,60,'万',暂无数据
弥勒,35.0,45.58666666666666,49.0,60,'万',暂无数据
渑池,4.0,52.77777777777778,76.0,18,'万',暂无数据
孟津,29.0,52.35,58.0,60,'万',暂无数据
南京,25.0,29.825,32.5,60,'万',29794
宁波,36.5,49.583,53.0,60,'万',27453
南昌,15.0,31.318333333333317,35.8,60,'万',12037
南宁,18.0,23.259999999999998,25.0,60,'万',11434
南通,22.2,27.16,30.0,60,'万',16713
南充,16.0,22.964999999999996,25.0,60,'万',6347
南阳,13.9,25.883833333333325,29.8,60,'万',8657
宁德,25.5,36.018333333333324,43.0,60,'万',12897
内江,15.8,23.91499999999999,26.0,60,'万',6167
南平,13.8,30.417333333333332,36.0,60,'万',8878
那曲,85.0,85.0,85.0,1,'万',暂无数据
怒江,45.8,65.12,80.0,5,'万',暂无数据
南安,38.0,52.53333333333334,56.0,60,'万',暂无数据
宁国,32.0,58.1766666666667,66.0,60,'万',暂无数据
南城,53.0,82.10714285714286,93.0,14,'万',暂无数据
南县,16.5,47.75266666666667,130.0,60,'万',暂无数据
南漳,23.0,38.07666666666667,47.0,60,'万',暂无数据
宁津,30.0,53.575,60.0,60,'万',暂无数据
宁阳,20.0,48.54066666666668,56.0,60,'万',暂无数据
攀枝花,8.5,18.011666666666663,20.0,60,'万',6148
平顶山,13.0,20.033333333333335,24.0,60,'万',6177
盘锦,62.1,53.63166666666666,177.0,60,'万',4384
萍乡,12.8,24.113333333333323,28.8,60,'万',5388
濮阳,18.0,31.875,37.0,60,'万',8200
莆田,36.0,41.041666666666664,46.0,60,'万',12967
普洱,29.0,40.841833333333334,46.0,60,'万',8215
平凉,32.0,37.65,41.0,60,'万',6889
https://puning.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
邳州,30.0,40.61666666666666,49.0,60,'万',暂无数据
https://penglaishi.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
平湖,25.0,36.809999999999995,43.5,60,'万',暂无数据
https://pingdu.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
https://pengzhou.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
舞钢,18.0,41.431333333333335,68.0,60,'万',暂无数据
平阳,40.0,52.99683333333334,57.68,60,'万',暂无数据
平邑,36.0,49.57833333333333,58.0,60,'万',暂无数据
磐石,19.0,39.19047619047619,85.0,21,'万',暂无数据
青岛,14.8,24.689999999999998,28.0,60,'万',16771
秦皇岛,24.0,31.263333333333332,35.0,60,'万',11749
泉州,24.0,34.230333333333334,37.0,60,'万',13715
曲靖,16.0,27.920499999999997,30.0,60,'万',6147
齐齐哈尔,7.0,13.713333333333331,16.0,60,'万',5780
衢州,29.8,57.56833333333336,68.8,60,'万',16471
清远,18.0,23.108333333333327,25.0,60,'万',7183
钦州,16.0,23.27166666666666,27.0,60,'万',4506
庆阳,25.0,40.0615,46.3,60,'万',8226
黔东南,17.5,24.728333333333335,28.0,60,'万',5813
潜江,12.0,24.575,29.8,60,'万',5477
清徐,19.8,37.78,185.0,60,'万',暂无数据
黔南,12.0,20.92666666666667,23.0,60,'万',4688
七台河,6.0,14.669833333333333,18.5,60,'万',3416
黔西南,19.5,23.01166666666668,23.9,60,'万',4221
迁安市,26.0,42.183166666666665,50.0,60,'万',暂无数据
青州,27.8,38.929833333333335,45.0,60,'万',暂无数据
清镇,19.6,30.063333333333325,35.0,60,'万',暂无数据
琼海,56.0,119.44166666666666,300.0,60,'万',暂无数据
沁阳,30.0,70.17,110.0,60,'万',暂无数据
沁阳,30.0,70.17,110.0,60,'万',暂无数据
启东,28.0,41.59166666666667,45.0,60,'万',暂无数据
淇县,18.0,41.24166666666665,48.0,60,'万',暂无数据
祁阳,29.0,44.37166666666667,49.8,60,'万',暂无数据
渠县,15.6,23.76166666666666,26.8,60,'万',暂无数据
杞县,25.0,48.08536585365854,70.0,41,'万',暂无数据
迁西,62.0,69.7,79.8,4,'万',暂无数据
栖霞,17.0,25.159833333333328,30.0,60,'万',暂无数据
江山,50.0,156.11499999999998,180.0,60,'万',暂无数据
齐河,35.0,46.656666666666666,53.0,60,'万',暂无数据
祁东,29.8,53.9506666666667,69.8,60,'万',暂无数据
日照,20.0,28.68166666666666,32.0,60,'万',10127
日喀则,68.0,110.23333333333333,144.0,60,'万',7076
瑞安,58.0,94.05266666666667,120.0,60,'万',17714
汝州,27.0,70.46205128205128,185.0,39,'万',暂无数据
任丘,42.0,65.33333333333334,80.0,60,'万',暂无数据
https://ruijin.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
乳山,11.5,14.988333333333333,15.8,60,'万',暂无数据
仁怀,49.8,122.22212765957448,298.0,47,'万',暂无数据
仁怀,49.8,122.22212765957448,298.0,47,'万',暂无数据
如皋,22.2,27.19333333333333,30.0,60,'万',暂无数据
荣成,12.0,24.806666666666665,28.1,60,'万',暂无数据
如东,36.5,52.34499999999999,58.0,60,'万',暂无数据
仁寿,26.0,37.48299999999999,40.6,60,'万',暂无数据
https://rituxian.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
上海,20.0,22.64483333333333,25.0,60,'万',53549
https://shenzhen.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
苏州,22.0,26.396833333333326,29.0,60,'万',21951
石家庄,18.0,21.298333333333336,24.5,60,'万',14633
沈阳,9.9,17.226666666666667,19.8,60,'万',10312
三亚,50.0,66.11633333333333,70.0,60,'万',29574
绍兴,26.6,32.25333333333332,35.0,60,'万',18618
